MMSI,일시,위도,경도,SOG,COG,Heading
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:16,37.3355166666667,126.387516666667,19.7,260.7,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:20,37.3354333333333,126.38695,19.7,260.6,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:27,37.3353166666667,126.3861,19.8,260.2,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:33,37.3352166666667,126.385316666667,19.7,260.3,261
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:39,37.33515,126.384748333333,19.7,260.0,261
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:45,37.33505,126.384016666667,19.8,259.8,261
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:51,37.3349833333333,126.3835,19.8,259.9,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:58:57,37.3348833333333,126.382766666667,19.7,260.4,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:03,37.3347666666667,126.381916666667,19.8,260.4,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:09,37.3346666666667,126.381233333333,19.7,260.3,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:15,37.3345833333333,126.380566666667,19.8,260.7,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:20,37.3345,126.38,19.8,260.2,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:27,37.3344166666667,126.379316666667,19.8,260.5,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:33,37.3343166666667,126.378633333333,19.8,260.5,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:39,37.3342166666667,126.3779,19.8,260.1,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:45,37.3341333333333,126.377216666667,19.8,260.4,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:51,37.33405,126.37665,19.7,260.7,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 18:59:57,37.33395,126.375916666667,19.9,260.8,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 19:00:03,37.33385,126.375116666667,19.9,261.2,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 19:00:09,37.3337833333333,126.37455,19.8,260.8,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 19:00:15,37.3336833333333,126.373866666667,19.8,261.1,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 19:00:21,37.3336,126.37325,19.8,260.8,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 19:00:27,37.3335,126.37245,19.9,261.0,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 19:00:39,37.3333166666667,126.371033333333,19.9,260.4,262
QQNQcWMDznFEjccPBIYSVw==,2020-02-24 19:00:45,37.3332333333333,126.37035,19.9,260.5,261
