MMSI,일시,위도,경도,SOG,COG,Heading
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:32:53,37.3347833333333,126.387233333333,19.0,256.0,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:32:59,37.33465,126.386531666667,19.1,256.6,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:06,37.3345166666667,126.385766666667,19.1,256.5,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:12,37.3343833333333,126.385066666667,19.2,256.7,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:17,37.3342666666667,126.384466666667,19.2,256.6,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:24,37.33415,126.383865,19.2,256.6,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:30,37.3340166666667,126.383166666667,19.2,256.6,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:35,37.3338833333333,126.38245,19.2,256.1,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:41,37.3337666666667,126.38185,19.2,256.0,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:47,37.33365,126.38125,19.2,256.1,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:53,37.3335333333333,126.38065,19.1,255.8,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:33:59,37.3334,126.380066666667,19.3,255.6,257
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:06,37.3332166666667,126.3792,19.2,255.6,257
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:11,37.3331333333333,126.378766666667,19.2,255.5,257
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:17,37.33295,126.377916666667,19.2,255.7,257
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:24,37.3328333333333,126.377315,19.2,255.8,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:29,37.3326833333333,126.376616666667,19.2,255.8,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:35,37.3325833333333,126.376115,19.2,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:41,37.3324333333333,126.375316666667,19.1,256.1,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:47,37.3323,126.374716666667,19.1,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:34:53,37.3321666666667,126.374016666667,19.1,256.1,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:00,37.33205,126.373416666667,19.1,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:06,37.3319166666667,126.372666666667,19.1,255.7,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:11,37.3318333333333,126.372248333333,19.1,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:17,37.3316833333333,126.371483333333,19.1,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:24,37.3315333333333,126.370783333333,19.1,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:29,37.3314166666667,126.370183333333,19.1,255.8,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:35,37.3313,126.3696,19.1,256.1,256
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:41,37.3311666666667,126.3689,19.1,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:47,37.3310166666667,126.368133333333,19.1,256.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:35:53,37.3309,126.367583333333,19.0,256.5,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:00,37.3307666666667,126.366833333333,19.1,256.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:06,37.33065,126.366233333333,19.0,256.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:17,37.3304,126.36495,19.0,256.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:23,37.33025,126.36425,19.1,255.7,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:29,37.3301333333333,126.363666666667,19.1,255.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:35,37.3300166666667,126.363066666667,19.0,255.6,257
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:41,37.3298833333333,126.362366666667,19.0,255.9,257
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:47,37.3297333333333,126.361666666667,19.0,255.7,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:36:53,37.3296166666667,126.361083333333,19.1,256.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:00,37.32945,126.360316666667,19.1,256.1,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:06,37.32935,126.359783333333,19.1,256.3,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:11,37.3292166666667,126.359133333333,19.2,256.3,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:17,37.3290833333333,126.358433333333,19.1,256.6,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:23,37.3289666666667,126.357833333333,19.2,256.6,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:29,37.3288333333333,126.357116666667,19.1,256.4,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:35,37.32875,126.356631666667,19.2,256.6,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:41,37.3286,126.355816666667,19.2,256.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:53,37.3283666666667,126.354633333333,19.3,256.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:37:59,37.32825,126.354033333333,19.2,256.4,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:06,37.3280833333333,126.353166666667,19.2,256.6,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:11,37.3279833333333,126.352683333333,19.2,256.5,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:17,37.32785,126.351983333333,19.2,256.5,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:23,37.3277333333333,126.351383333333,19.2,256.7,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:30,37.3276,126.350683333333,19.2,257.1,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:35,37.3275,126.350183333333,19.2,257.3,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:41,37.32735,126.349366666667,19.1,256.8,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:47,37.3272333333333,126.348783333333,19.2,256.9,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:38:53,37.3271166666667,126.348066666667,19.2,256.8,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:00,37.327,126.347483333333,19.2,256.8,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:06,37.3268666666667,126.346766666667,19.2,256.5,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:11,37.3267333333333,126.346116666667,19.2,256.3,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:17,37.3266333333333,126.345566666667,19.2,256.4,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:29,37.3263666666667,126.344216666667,19.1,256.4,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:35,37.32625,126.343616666667,19.2,256.4,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:42,37.3261166666667,126.342916666667,19.2,256.4,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:48,37.3259666666667,126.342198333333,19.2,256.7,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:39:53,37.32585,126.341598333333,19.2,257.2,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:00,37.3257166666667,126.340883333333,19.2,257.1,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:06,37.3255833333333,126.340115,19.2,257.3,259
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:11,37.3254833333333,126.339583333333,19.1,256.9,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:17,37.3253666666667,126.338933333333,19.2,256.7,258
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:23,37.3252333333333,126.338216666667,19.1,255.7,256
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:30,37.3251,126.337633333333,19.1,253.5,254
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:36,37.3249333333333,126.33695,19.0,250.6,250
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:37,37.3249,126.33685,18.9,249.9,249
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:39,37.3248333333333,126.336633333333,18.9,248.4,248
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:41,37.3247666666667,126.336383333333,18.9,247.4,246
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:43,37.3247,126.336166666667,18.8,246.0,245
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:45,37.3246,126.335933333333,18.7,244.1,244
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:48,37.3245666666667,126.335833333333,18.7,243.6,242
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:49,37.3244833333333,126.335633333333,18.6,243.2,243
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:51,37.3243833333333,126.3354,18.5,242.0,242
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:53,37.3243,126.335216666667,18.5,240.8,240
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:55,37.3242166666667,126.335033333333,18.4,239.3,239
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:40:57,37.3241,126.3348,18.4,238.1,238
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:00,37.3240166666667,126.334633333333,18.3,237.5,238
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:02,37.3239666666667,126.334533333333,18.4,237.5,237
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:04,37.32385,126.334316666667,18.2,236.2,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:06,37.3237166666667,126.33405,18.2,234.7,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:07,37.3236333333333,126.333933333333,18.2,234.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:09,37.32355,126.333766666667,18.2,234.2,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:11,37.3235,126.333666666667,18.2,234.1,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:13,37.3234,126.3335,18.2,234.2,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:15,37.3232666666667,126.3333,18.2,233.6,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:18,37.32315,126.333083333333,18.2,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:21,37.323,126.332833333333,18.3,233.5,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:23,37.3228833333333,126.33265,18.3,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:25,37.3227666666667,126.332433333333,18.4,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:28,37.3226333333333,126.332216666667,18.5,233.5,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:29,37.3225333333333,126.33205,18.4,233.9,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:35,37.32225,126.331566666667,18.5,232.7,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:41,37.3219166666667,126.331,18.5,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:48,37.3216,126.330483333333,18.6,232.9,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:41:53,37.32135,126.33005,18.7,233.0,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:00,37.3209833333333,126.329433333333,18.8,233.1,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:06,37.3206333333333,126.328866666667,18.8,232.9,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:11,37.32035,126.328383333333,18.8,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:18,37.3201166666667,126.328,18.9,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:23,37.3197833333333,126.327433333333,18.9,233.8,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:29,37.3195,126.326933333333,18.9,233.8,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:35,37.3191666666667,126.326366666667,19.0,233.9,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:41,37.3188833333333,126.325866666667,19.0,234.1,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:48,37.31855,126.325283333333,19.0,234.1,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:42:53,37.3182333333333,126.32475,19.1,234.1,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:00,37.3179,126.32415,19.1,234.3,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:06,37.31755,126.323566666667,19.1,234.2,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:11,37.3173166666667,126.323148333333,19.1,234.1,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:18,37.3169833333333,126.322566666667,19.2,233.8,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:23,37.3166833333333,126.322083333333,19.1,233.7,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:29,37.31635,126.3215,19.1,233.6,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:35,37.31605,126.321,19.1,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:41,37.3156833333333,126.320383333333,19.2,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:48,37.3154,126.319883333333,19.2,233.2,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:43:53,37.31505,126.319316666667,19.1,233.2,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:00,37.3147666666667,126.318816666667,19.1,233.1,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:11,37.3141166666667,126.31775,19.1,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:18,37.3138166666667,126.317266666667,19.2,233.4,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:23,37.31345,126.31665,19.1,233.5,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:29,37.3131833333333,126.3162,19.2,233.7,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:35,37.3128166666667,126.315566666667,19.1,233.7,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:41,37.3125333333333,126.315066666667,19.2,233.6,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:44:47,37.31225,126.314566666667,19.2,233.5,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:00,37.3116166666667,126.3135,19.2,233.2,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:05,37.3112333333333,126.312866666667,19.2,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:11,37.31095,126.312383333333,19.1,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:18,37.3106,126.3118,19.1,233.5,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:24,37.3103166666667,126.3113,19.2,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:29,37.3100333333333,126.310816666667,19.2,233.7,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:35,37.3096833333333,126.310233333333,19.2,233.5,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:41,37.30935,126.309683333333,19.2,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:47,37.3090166666667,126.3091,19.3,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:45:59,37.3083666666667,126.308016666667,19.3,233.2,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:06,37.3080666666667,126.307533333333,19.3,233.1,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:11,37.3077666666667,126.307033333333,19.3,233.1,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:17,37.3074,126.3064,19.3,232.9,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:23,37.3071,126.3059,19.3,233.0,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:29,37.30675,126.305333333333,19.3,233.2,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:35,37.30645,126.304833333333,19.3,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:41,37.30615,126.304333333333,19.3,233.5,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:48,37.3057833333333,126.3037,19.4,233.4,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:53,37.3054833333333,126.303198333333,19.3,233.7,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:46:59,37.30515,126.302615,19.4,233.7,235
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:47:05,37.30485,126.302116666667,19.4,233.6,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:47:11,37.3045666666667,126.301633333333,19.3,233.6,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:47:17,37.3041833333333,126.300983333333,19.4,233.4,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:47:23,37.3038833333333,126.3005,19.4,233.3,234
QQNQcWMDznFEjccPBIYSVw==,2020-02-19 19:47:29,37.3035333333333,126.299916666667,19.4,233.3,234
