MMSI,일시,위도,경도,SOG,COG,Heading
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:43:55,37.3337833333333,126.386416666667,18.8,262.0,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:01,37.3337,126.3856,18.9,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:08,37.3336333333333,126.385066666667,18.8,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:13,37.3335666666667,126.384366666667,18.8,262.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:19,37.3335,126.383715,18.8,262.4,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:25,37.3334333333333,126.383115,18.9,262.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:30,37.3333666666667,126.382515,18.8,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:37,37.3332833333333,126.381816666667,18.8,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:43,37.3332166666667,126.381166666667,18.7,262.6,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:49,37.33315,126.380466666667,18.9,262.1,262
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:44:55,37.3330666666667,126.379816666667,18.8,262.2,262
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:01,37.3329833333333,126.37905,18.9,262.0,263
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:08,37.3329166666667,126.3784,18.8,262.0,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:13,37.33285,126.37785,18.8,262.0,262
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:19,37.3327666666667,126.37715,18.8,261.7,264
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:25,37.3326833333333,126.3765,18.8,261.5,264
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:31,37.3326166666667,126.375966666667,18.8,261.5,264
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:49,37.3323833333333,126.373916666667,18.7,261.6,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:45:55,37.3323166666667,126.373366666667,18.6,262.0,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:02,37.3322333333333,126.372683333333,18.8,261.7,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:08,37.3321666666667,126.372033333333,18.7,262.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:13,37.3321,126.371433333333,18.7,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:19,37.332,126.370733333333,18.7,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:25,37.3319333333333,126.370133333333,18.8,262.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:37,37.3318,126.36885,18.7,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:43,37.3317166666667,126.36815,18.7,261.9,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:49,37.33165,126.36755,18.7,261.7,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:46:55,37.3315833333333,126.36685,18.7,262.0,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:02,37.3315166666667,126.366266666667,18.8,261.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:08,37.3314333333333,126.365566666667,18.7,262.1,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:13,37.3313666666667,126.364916666667,18.8,261.8,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:19,37.3312833333333,126.364215,18.8,261.6,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:25,37.3312166666667,126.363566666667,18.8,262.1,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:31,37.33115,126.363016666667,18.7,262.0,262
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:37,37.3310666666667,126.362316666667,18.8,262.0,262
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:43,37.3309833333333,126.361616666667,18.8,262.1,262
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:49,37.3309166666667,126.3609,18.8,262.3,263
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:47:55,37.3308333333333,126.36025,18.8,262.6,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:01,37.3307833333333,126.359716666667,18.8,262.4,262
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:08,37.3307,126.359016666667,18.9,262.6,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:13,37.3306333333333,126.35835,18.8,262.4,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:19,37.33055,126.35765,18.9,262.5,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:25,37.3304833333333,126.357,18.8,262.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:31,37.3304333333333,126.35645,18.8,262.1,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:37,37.33035,126.35575,18.9,262.4,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:43,37.3302833333333,126.3551,18.9,262.0,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:49,37.3302166666667,126.354548333333,18.9,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:48:55,37.3301333333333,126.353783333333,18.9,262.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:49:03,37.3300833333333,126.353233333333,18.9,262.5,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:49:07,37.33,126.352533333333,19.0,263.2,266
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:49:12,37.32995,126.351983333333,18.9,263.0,266
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:49:19,37.3298833333333,126.351166666667,19.0,263.3,266
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:49:25,37.3298166666667,126.35045,18.9,262.9,266
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:49:31,37.3297666666667,126.349916666667,18.9,263.0,263
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:49:43,37.3296166666667,126.348533333333,19.0,262.4,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:50:01,37.3293833333333,126.346633333333,18.9,258.6,259
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:50:08,37.32925,126.345933333333,18.8,256.2,255
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:50:09,37.3292,126.345683333333,18.7,254.5,254
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:50:11,37.3291666666667,126.345566666667,18.7,253.5,252
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:50:12,37.3291333333333,126.345416666667,18.7,253.5,252
QQNQcWMDznFEjccPBIYSVw==,2020-04-06 18:50:15,37.3290333333333,126.34505,18.5,251.3,250
