MMSI,일시,위도,경도,SOG,COG,Heading
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:10:26,37.3386166666667,126.390066666667,18.2,261.9,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:10:57,37.3382333333333,126.3868,18.3,262.4,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:11:07,37.3381166666667,126.38575,18.3,261.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:11:14,37.3380166666667,126.385016666667,18.3,261.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:11:50,37.3375833333333,126.381283333333,18.2,261.5,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:11:58,37.3374833333333,126.38045,18.2,262.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:12:48,37.3368666666667,126.375133333333,18.2,262.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:12:58,37.33675,126.374083333333,18.2,262.4,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:13:27,37.33635,126.370933333333,18.3,261.3,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:13:46,37.3361,126.36895,18.2,261.7,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:13:47,37.3361,126.36895,18.2,261.7,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:13:56,37.3359833333333,126.3679,18.3,261.5,266
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:14:19,37.3357166666667,126.365483333333,18.3,261.2,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:14:27,37.3356166666667,126.364683333333,18.2,261.5,265
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:14:56,37.3352666666667,126.36165,18.3,260.1,263
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:15:17,37.3349333333333,126.359633333333,18.1,256.8,260
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:15:26,37.3347666666667,126.358666666667,18.1,256.1,258
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:15:26,37.3347333333333,126.3585,18.0,256.0,258
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:15:36,37.3345,126.357433333333,18.1,253.6,256
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:16:08,37.33375,126.354416666667,18.2,252.1,253
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:16:18,37.3334666666667,126.3533,18.3,251.7,255
QQNQcWMDznFEjccPBIYSVw==,2020-04-20 19:16:31,37.3331166666667,126.351933333333,18.3,252.1,255
