MMSI,일시,위도,경도,SOG,COG,Heading
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:06,37.287565,126.40095,5.5,209.9,227
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:09,37.287495,126.400898333333,5.8,209.6,226
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:12,37.2874266666667,126.40085,6.2,207.6,234
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:16,37.28736,126.400798333333,5.3,214.5,235
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:19,37.2872683333333,126.400735,5.6,214.9,238
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:22,37.2871966666667,126.400688333333,5.7,201.4,221
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:26,37.2871316666667,126.40063,6.0,216.9,222
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:29,37.28706,126.400591666667,5.8,206.1,241
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:33,37.2869683333333,126.40053,5.7,200.8,234
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:36,37.2868783333333,126.400468333333,5.5,201.3,226
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:39,37.28681,126.400411666667,5.8,212.8,215
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:42,37.2867383333333,126.400373333333,5.9,215.1,240
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:46,37.286645,126.400315,5.9,208.5,234
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:53,37.2865066666667,126.400223333333,5.8,210.7,226
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:55,37.2864366666667,126.400183333333,5.5,207.1,232
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:42:59,37.2863433333333,126.400123333333,5.5,201.9,235
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:43:02,37.2862766666667,126.400071666667,5.6,204.5,216
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:43:09,37.286115,126.399971666667,5.8,212.8,238
7lkEZOvYLCDV314Yqysa6Q==,2020-11-09 00:43:13,37.286045,126.399931666667,5.9,199.8,236
