MMSI,데이터수,최초_시간,최종_시간,최소_위도,최대_위도,최소_경도,최대_경도,평균_SOG,최대_SOG,최소_SOG,평균_COG,최대_COG,최소_COG
4iqDtn8AQosltCABT0FaAg==,5,2020-03-10 11:38:23,2020-03-10 11:40:15,34.7120316666667,91.0,127.622383333333,181.0,0.04,0.2,0.0,0.0,0.0,0.0
4kGGOwV00AqgQo+RhpU8vw==,376,2020-03-10 00:01:17,2020-03-10 23:58:17,34.0260683333333,34.0262633333333,127.306421666667,127.306708333333,0.017553191489361703,0.3,0.0,206.8869680851064,349.7,26.3
4kQIDj8sJylXy5iybM9Z9w==,615,2020-03-10 00:00:42,2020-03-10 23:59:15,32.8981216666667,33.13838,125.538018333333,125.661805,1.5808130081300813,4.6,0.0,175.99528455284553,359.8,0.4
4kar7bKSbSkR9tUSdiGrgg==,1020,2020-03-10 09:11:02,2020-03-10 13:05:07,35.0948533333333,91.0,129.038265,181.0,0.20352941176470588,102.3,0.0,121.21637254901961,360.0,0.0
4korHSaPR2T8CIO37iPiEA==,17,2020-03-10 10:05:41,2020-03-10 15:41:51,31.9548516666667,31.990855,125.165965,125.205881666667,1.4176470588235295,3.0,0.2,117.41176470588235,348.0,28.0
4lliI3Dbyzv48vjg6HHYoA==,695,2020-03-10 00:00:45,2020-03-10 23:57:05,33.5329,33.53297,126.54108,126.541171666667,0.0,0.0,0.0,0.0,0.0,0.0
4m0hx3oSlPNR3nTm+Eh0gQ==,11514,2020-03-10 00:00:02,2020-03-10 23:59:55,33.8828933333333,34.7270166666667,124.984976666667,126.234971666667,12.392235539343408,20.3,0.0,194.37346708355048,359.9,0.0
4nMDVzL9xtdqGHj3aw2Btw==,29,2020-03-10 09:37:30,2020-03-10 09:45:12,34.7814533333333,91.0,126.385103333333,181.0,3.5344827586206895,102.3,0.0,215.4448275862069,360.0,0.0
4pxRvvAduOA8yLtrEIm6RQ==,469,2020-03-10 00:02:40,2020-03-10 23:59:47,34.90233,34.9027066666667,127.757286666667,127.757603333333,0.00490405117270789,0.1,0.0,315.9,315.9,315.9
4qUHBuDldBl0fCCWnia90g==,498,2020-03-10 06:23:04,2020-03-10 09:33:36,34.7351433333333,34.838995,128.420126666667,128.530638333333,8.33433734939759,12.4,0.0,189.7769076305221,359.1,0.0
4qdA0nzFi2xIxu2O4j6tzQ==,8756,2020-03-10 00:00:09,2020-03-10 23:59:50,36.1110583333333,36.1112666666667,129.435086666667,129.43524,0.10839424394700777,0.4,0.0,201.2469849246231,326.9,1.0
4r1bim9+PApRYarLkD4BSA==,2415,2020-03-10 08:18:37,2020-03-10 15:43:47,35.055885,35.0559583333333,128.976198333333,128.97629,0.0035196687370600416,0.1,0.0,0.0,0.0,0.0
4rLMLKmtnKdH8Tyhq1nuYA==,6911,2020-03-10 00:00:06,2020-03-10 23:59:58,33.4677883333333,33.4678983333333,126.3272,126.327271666667,0.07498191289249025,0.4,0.0,252.25688033569668,353.6,23.2
4rLoRiAJBA/n9R1wh+avww==,404,2020-03-10 00:00:06,2020-03-10 01:38:42,33.7730483333333,34.2893716666667,128.64175,128.807953333333,19.434653465346535,19.8,18.8,196.63465346534653,202.1,187.7
4rPR6AUeRqRVQUQF1pVQUw==,8449,2020-03-10 00:00:01,2020-03-10 23:59:51,35.5019283333333,35.5020766666667,129.389336666667,129.389496666667,0.0005326074091608474,0.3,0.0,204.2870872292579,359.9,0.0
4tN6bOFymGVKWAC5e+Supg==,4,2020-03-10 07:22:13,2020-03-10 07:37:06,38.9553066666667,38.9591483333333,121.726196666667,121.773241666667,8.975,9.0,8.9,290.875,307.2,274.2
4uW3OdEPCsKhVrGMits57w==,418,2020-03-10 00:07:58,2020-03-10 08:00:19,36.7768016666667,36.97053,125.75857,126.133038333333,5.46244019138756,9.0,0.0,133.58660287081338,359.9,0.0
4v0/cn4jVb37GTOP1N3l3A==,1503,2020-03-10 08:13:50,2020-03-10 16:44:57,34.80635,34.84485,128.240433333333,128.3973,6.270126413838988,11.5,0.0,120.59281437125749,345.5,0.0
4vAZ8FAVpe5zdP2ntbrayw==,8218,2020-03-10 00:00:03,2020-03-10 23:59:53,34.3166316666667,34.3167433333333,126.75988,126.760035,0.036213190557313216,102.3,0.0,5.479897785349234,360.0,0.0
4vsN1jpCkimJJ1HZcRxApg==,3290,2020-03-10 00:00:22,2020-03-10 23:59:04,34.6742683333333,91.0,128.432848333333,181.0,6.724072948328268,102.3,0.0,219.61158054711245,360.0,5.4
4w3byosyvP/DJGhzyrNrxA==,4004,2020-03-10 00:00:52,2020-03-10 23:59:55,36.353,37.4404166666667,125.52825,126.586666666667,8.648201798201798,102.3,0.0,213.4582917082917,360.0,0.0
4weizxXnzJBF2wqG3DTLyQ==,1059,2020-03-10 06:11:49,2020-03-10 09:10:29,34.3222183333333,34.3223033333333,126.02025,126.020346666667,0.016336166194523136,0.1,0.0,169.1,169.1,169.1
4wfQjGrwQGUrvEbE1euRWg==,3999,2020-03-10 00:01:56,2020-03-10 15:34:31,32.227795,35.105505,126.91257,129.176423333333,18.044611152788196,21.2,0.0,207.61477869467367,351.0,2.0
4y1P5HNEyBG838nqf0DtkQ==,308,2020-03-10 00:00:34,2020-03-10 23:59:45,37.5313516666667,37.5333266666667,126.586551666667,126.58798,0.01655844155844156,1.6,0.0,222.59902597402598,344.3,0.3
4zFOQjsluUhfF0JOFhBK8g==,914,2020-03-10 06:47:53,2020-03-10 20:20:28,37.027265,37.4583066666667,126.000343333333,126.599065,9.814660831509848,14.9,0.0,153.7715536105033,358.9,0.0
4zdXkxWEjKzcUTtk6KxebA==,1109,2020-03-10 00:03:36,2020-03-10 23:56:26,34.612765,34.6129633333333,127.72457,127.724705,0.11289449954914338,0.8,0.0,190.29981965734896,347.5,2.0
5+gN94wl2eFyHwDvtTSJRg==,2599,2020-03-10 06:33:38,2020-03-10 14:23:58,35.083505,35.1216083333333,129.049636666667,129.108936666667,1.6360908041554443,11.2,0.0,165.3983070411697,359.6,0.0
5/4fAIMliM2d8FcWm7nEmw==,8497,2020-03-10 00:00:06,2020-03-10 23:59:56,34.7955633333333,34.7957633333333,126.352088333333,126.352288333333,0.0019418618335883253,0.4,0.0,52.8886901259268,359.6,0.0
5/YVe5sIF6vo5+re/093Vw==,801,2020-03-10 06:55:33,2020-03-10 12:50:49,34.671775,34.6921766666667,127.143163333333,127.183411666667,5.191011235955056,14.7,0.0,191.50262172284644,359.6,0.0
5/n7BzQuxK9y1UFw8o79Jg==,3161,2020-03-10 00:00:06,2020-03-10 09:06:36,37.0486183333333,37.3252683333333,129.417721666667,129.569578333333,3.321955077507118,11.4,0.0,193.1527048402404,359.9,0.0
5/uJXHvLOXxBf06rwkcpCw==,3,2020-03-10 00:03:25,2020-03-10 22:53:15,32.148465,32.153935,126.771368333333,126.771771666667,0.16666666666666666,0.2,0.1,191.13333333333333,266.7,49.9
503t6tzWsP8k4xHDl7aTdA==,8099,2020-03-10 00:00:07,2020-03-10 23:59:57,35.0457,35.1122116666667,128.999283333333,129.108798333333,0.9065563649833313,11.0,0.0,160.19979009754292,359.9,0.0
50xKk5Pud8PDdhfCpL7qSg==,699,2020-03-10 00:00:09,2020-03-10 23:57:24,33.2230516666667,33.2230833333333,126.478958333333,126.478991666667,0.0,0.0,0.0,0.0,0.0,0.0
510XAKkbDsqJJgu2LnuTWw==,1,2020-03-10 00:11:15,2020-03-10 00:11:15,32.7606133333333,32.7606133333333,125.064708333333,125.064708333333,0.1,0.1,0.1,167.4,167.4,167.4
51HrFWNWuvMSLelmzdL7vg==,8339,2020-03-10 00:00:03,2020-03-10 23:59:52,33.236045,33.2362816666667,126.33475,126.33493,0.09147379781748412,0.7,0.0,213.43543590358559,359.5,0.1
51aRoyL2opWrYBb9y/YBCw==,8981,2020-03-10 00:00:40,2020-03-10 23:59:57,35.0407983333333,35.1121583333333,128.999333333333,129.108346666667,2.1857031510967597,11.5,0.0,241.60611290502172,359.9,0.0
51bkns7vNz/izFWcmrdXXA==,3963,2020-03-10 00:00:02,2020-03-10 12:12:25,34.1672366666667,91.0,127.43609,181.0,3.1647236941710823,102.3,0.0,172.85208175624527,360.0,0.4
52guggaj+6Tv3yoRoCdQHw==,844,2020-03-10 00:01:45,2020-03-10 22:49:15,37.8865516666667,37.8890783333333,128.830463333333,128.831986666667,0.07440758293838862,2.3,0.0,136.32843601895735,359.7,0.0
52taOuhF1aP0/7LaiZtmMw==,4324,2020-03-10 00:00:46,2020-03-10 23:59:05,34.6865783333333,34.8390366666667,128.423241666667,128.593605,1.5298103607770581,12.6,0.0,270.0744680851064,359.5,12.9
52wPeTk+jttyseAZvYe00A==,8628,2020-03-10 00:00:05,2020-03-10 23:59:56,35.13352,35.1346766666667,126.14541,126.146886666667,0.21420955030134448,1.7,0.0,199.26169448307834,359.8,0.0
53xnEgA8ghDQApbsD1+aYQ==,3188,2020-03-10 00:00:28,2020-03-10 23:59:53,33.5250533333333,33.52904,126.546276666667,126.55714,0.14981179422835633,7.8,0.0,209.2482120451694,359.9,0.0
54VtTB2yYGTFcf2EyYBcrw==,2354,2020-03-10 00:00:05,2020-03-10 23:59:51,37.0161883333333,37.0264166666667,126.40165,126.422,0.34944774851316907,10.6,0.0,102.76949872557348,359.9,0.0
54WfSeh/WLtMN3Gyfg+oLQ==,185,2020-03-10 00:01:32,2020-03-10 12:59:49,34.7970883333333,34.843705,128.434711666667,128.585901666667,3.7972972972972974,12.9,0.0,156.54216216216216,351.2,0.5
55QFOWDp1ghc5nxZq9xEOw==,447,2020-03-10 06:02:40,2020-03-10 11:55:34,36.6628416666667,36.7221883333333,129.452998333333,129.75103,8.56979865771812,16.1,0.0,165.737807606264,354.2,0.0
55fw57vlqhXY2ahY1BPUfQ==,20,2020-03-10 00:00:40,2020-03-10 00:05:00,38.14213,38.1498116666667,122.04268,122.060916666667,13.5,13.5,13.5,298.005,298.3,297.8
56PMoaPI4Lcf/Arl/KpWBg==,88,2020-03-10 00:00:17,2020-03-10 00:23:39,35.4549266666667,35.4757416666667,129.397866666667,129.403996666667,3.4909090909090907,6.7,0.0,191.8375,354.0,0.0
