MMSI,일시,위도,경도,SOG,COG,Heading,거리
uu30XIvAe9g4uvSQozBJNQ==,2020-03-10 00:00:10,34.9356666666667,129.10515,0.4,178.4,142,16.900422762786825
bv44fr2kkSVIMCRHkoRhlQ==,2020-03-10 00:00:12,35.08275,128.993183333333,0.0,128.9,187,6.418979493038029
QiOflSWUiYYuNOpR7FTeQw==,2020-03-10 00:00:12,35.1000033333333,129.060536666667,0.0,284.9,511,1.768583163833046
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:00:14,35.0829583333333,128.993033333333,0.0,348.7,186,6.40261558446417
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:00:14,35.09783,129.06538,102.3,360.0,511,1.5405894795114405
KveWBFM4U1kc1gEy0XGjiA==,2020-03-10 00:00:16,35.4758416666667,129.402483333333,0.0,151.6,511,53.308504898676674
KveWBFM4U1kc1gEy0XGjiA==,2020-03-10 00:00:16,35.4758416666667,129.402483333333,0.0,151.6,511,53.31144674851424
aBA6Ln+vOjecHsEtYcMdxA==,2020-03-10 00:00:17,35.5249466666667,129.444115,0.0,12.6,113,59.930973012589284
JN2qBUBPgaa02OjaSeZE5Q==,2020-03-10 00:00:17,35.09955,129.0612,0.0,160.0,511,1.7224312124011396
FlqTijHDY36eYmT36fyQoQ==,2020-03-10 00:00:17,35.0837983333333,129.004958333333,0.0,112.6,17,5.318144759830422
NOqZW0lkww1HNis9FqiV+A==,2020-03-10 00:00:17,34.8854866666667,128.700181666667,0.0,360.0,511,39.80771839996472
aBA6Ln+vOjecHsEtYcMdxA==,2020-03-10 00:00:17,35.5249466666667,129.444115,0.0,12.6,113,59.90012151243003
JN2qBUBPgaa02OjaSeZE5Q==,2020-03-10 00:00:17,35.09955,129.0612,0.0,160.0,511,1.6898610369610927
FlqTijHDY36eYmT36fyQoQ==,2020-03-10 00:00:17,35.0837983333333,129.004958333333,0.0,112.6,17,5.324542815108151
NOqZW0lkww1HNis9FqiV+A==,2020-03-10 00:00:17,34.8854866666667,128.700181666667,0.0,360.0,511,39.83127101598944
aBA6Ln+vOjecHsEtYcMdxA==,2020-03-10 00:00:17,35.5249466666667,129.444115,0.0,12.6,113,59.92073056421264
JN2qBUBPgaa02OjaSeZE5Q==,2020-03-10 00:00:17,35.09955,129.0612,0.0,160.0,511,1.7173947233312843
FlqTijHDY36eYmT36fyQoQ==,2020-03-10 00:00:17,35.0837983333333,129.004958333333,0.0,112.6,17,5.327306408985162
NOqZW0lkww1HNis9FqiV+A==,2020-03-10 00:00:17,34.8854866666667,128.700181666667,0.0,360.0,511,39.818690815467036
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:18,34.6612066666667,129.068831666667,0.0,8.1,124,46.90520960358514
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:18,35.0576683333333,128.998065,0.0,360.0,511,6.626889572752718
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:18,34.6612066666667,129.068831666667,0.0,8.1,124,46.91323123426677
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:18,35.0576683333333,128.998065,0.0,360.0,511,6.6245299604951215
lgUpmIdgb/uQhvCyW+QiZw==,2020-03-10 00:00:19,34.9918166666667,129.576533333333,13.6,234.0,234,47.94133424095954
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:00:19,35.08036,129.003836666667,0.0,336.5,355,5.431445773092002
2Vxjjs+B8qh+zr5iU5a2YA==,2020-03-10 00:00:19,35.0774883333333,128.808591666667,0.0,305.3,270,23.233627269424872
J9/C7dJeuSSHYKqz+eHZ4g==,2020-03-10 00:00:21,35.132075,129.580696666667,1.2,181.7,162,47.47644466545927
tqw8sxkjzl4hK3OXFXSwZg==,2020-03-10 00:00:23,34.5669683333333,128.962946666667,1.0,168.9,308,58.119657950664326
RAb8Gy1WlpJNld1OqrEHHQ==,2020-03-10 00:00:23,35.0828733333333,128.993086666667,0.0,275.8,511,6.433046831603124
ZRZ3z57nB/VYZ9a8TUFoPg==,2020-03-10 00:00:23,35.0591333333333,129.18005,8.0,234.0,233,10.97983498655674
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:00:23,35.0788383333333,128.99339,0.0,250.1,511,6.431785668895656
juA2dq+E82VLHPvupVGohg==,2020-03-10 00:00:23,35.1031383333333,129.059693333333,0.0,310.6,511,2.1260695071254982
tq+Mkfyyu6upmLx3WBzVsA==,2020-03-10 00:00:23,34.8456566666667,128.78757,0.0,140.5,47,36.553336484394734
7p/lF50CFcWUPEpFZhJ7SQ==,2020-03-10 00:00:24,35.06624,129.009006666667,0.0,360.0,328,5.325520824869585
QVolkHAoZ1GeOr4vgBM+RA==,2020-03-10 00:00:24,35.0683833333333,129.007401666667,0.0,0.0,325,5.38016818980826
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:00:24,35.09783,129.065383333333,102.3,360.0,511,1.5406476122051131
c2YvZtQ/z+e0LqCxqJWsNQ==,2020-03-10 00:00:24,35.0997933333333,129.061116666667,0.0,80.3,511,1.7564311856668486
KveWBFM4U1kc1gEy0XGjiA==,2020-03-10 00:00:25,35.47584,129.402481666667,0.0,151.6,511,53.30910584532119
JN2qBUBPgaa02OjaSeZE5Q==,2020-03-10 00:00:26,35.09955,129.0612,0.0,159.0,511,1.7420133784295289
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:27,34.6612066666667,129.06883,0.0,8.1,124,46.91118076678115
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:27,34.6612066666667,129.06883,0.0,8.1,124,46.921103794035595
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:27,34.6612066666667,129.06883,0.0,8.1,124,46.924734666452856
lgUpmIdgb/uQhvCyW+QiZw==,2020-03-10 00:00:28,34.9914833333333,129.575966666667,13.6,234.0,234,47.89367992157371
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:28,35.0576583333333,128.998071666667,0.0,360.0,511,6.625142660687312
lgUpmIdgb/uQhvCyW+QiZw==,2020-03-10 00:00:28,34.9914833333333,129.575966666667,13.6,234.0,234,47.9018133828999
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:28,35.0576583333333,128.998071666667,0.0,360.0,511,6.622022143258143
J9/C7dJeuSSHYKqz+eHZ4g==,2020-03-10 00:00:31,35.1320233333333,129.580693333333,1.1,182.9,162,47.47851026765253
GIJ16soGSLqWaUHEyCTIaw==,2020-03-10 00:00:31,35.113265,129.459031666667,5.7,217.9,222,36.2369160894452
YS+hKrEf8JrtYb652ltcMA==,2020-03-10 00:00:31,35.0257666666667,129.082233333333,0.0,236.0,350,6.691194582197726
4KdQUtyGiO2kQ5R9N3Ol4w==,2020-03-10 00:00:31,35.0976833333333,129.065683333333,0.0,61.9,0,1.5333932559774248
bv44fr2kkSVIMCRHkoRhlQ==,2020-03-10 00:00:31,35.08275,128.993183333333,0.0,128.9,186,6.386740665384374
tqw8sxkjzl4hK3OXFXSwZg==,2020-03-10 00:00:32,34.5669216666667,128.962958333333,1.0,168.9,308,58.09650352473798
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:00:33,35.0829583333333,128.993028333333,0.0,348.7,186,6.402612133231483
RAb8Gy1WlpJNld1OqrEHHQ==,2020-03-10 00:00:33,35.0828583333333,128.993088333333,0.0,298.5,511,6.397365920263412
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:00:33,35.0788383333333,128.99339,0.0,250.1,511,6.394876522420707
aBA6Ln+vOjecHsEtYcMdxA==,2020-03-10 00:00:37,35.5249533333333,129.444118333333,0.0,12.6,113,59.92061846170561
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:38,34.6612083333333,129.068826666667,0.0,342.4,124,46.922897126954794
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:38,34.6612083333333,129.068826666667,0.0,342.4,124,46.91007475114949
lgUpmIdgb/uQhvCyW+QiZw==,2020-03-10 00:00:39,34.9910833333333,129.575266666667,13.6,234.0,234,47.83888576471836
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:39,35.057665,128.998066666667,0.1,360.0,511,6.632059316417721
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:00:39,35.0803866666667,129.00383,0.0,353.0,355,5.439890516960294
lgUpmIdgb/uQhvCyW+QiZw==,2020-03-10 00:00:39,34.9910833333333,129.575266666667,13.6,234.0,234,47.84821751335975
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:39,35.057665,128.998066666667,0.1,360.0,511,6.620308766234641
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:00:39,35.0803866666667,129.00383,0.0,353.0,355,5.428910739459387
4KdQUtyGiO2kQ5R9N3Ol4w==,2020-03-10 00:00:41,35.0976833333333,129.065683333333,0.0,61.9,0,1.5305246985336254
pZgHcCQNxyoLdLOX4dhtFQ==,2020-03-10 00:00:41,35.0904516666667,129.472158333333,0.9,22.9,147,37.29302656196066
bv44fr2kkSVIMCRHkoRhlQ==,2020-03-10 00:00:41,35.08275,128.9932,0.0,128.9,186,6.392403191292711
tqw8sxkjzl4hK3OXFXSwZg==,2020-03-10 00:00:42,34.5668683333333,128.962971666667,1.0,168.0,308,58.09985663325436
pi8MdWlt5QpyQRqXIwVcLA==,2020-03-10 00:00:42,35.0681483333333,129.041881666667,0.0,219.7,16,2.6232771466465974
tqw8sxkjzl4hK3OXFXSwZg==,2020-03-10 00:00:42,34.5668683333333,128.962971666667,1.0,168.0,308,58.12980772464117
pi8MdWlt5QpyQRqXIwVcLA==,2020-03-10 00:00:42,35.0681483333333,129.041881666667,0.0,219.7,16,2.6633772350625216
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:00:44,35.08296,128.993028333333,0.0,348.7,186,6.402608557157478
RAb8Gy1WlpJNld1OqrEHHQ==,2020-03-10 00:00:44,35.082845,128.993093333333,0.0,278.7,511,6.39694143245288
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:00:44,35.0788366666667,128.99339,0.0,250.1,511,6.394893323650757
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:00:44,35.097835,129.065381666667,102.3,360.0,511,1.541400577426191
c2YvZtQ/z+e0LqCxqJWsNQ==,2020-03-10 00:00:44,35.0997816666667,129.061106666667,0.0,4.5,511,1.7553951802846668
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:00:44,35.08296,128.993028333333,0.0,348.7,186,6.3990555698814
RAb8Gy1WlpJNld1OqrEHHQ==,2020-03-10 00:00:44,35.082845,128.993093333333,0.0,278.7,511,6.393382257282655
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:00:44,35.0788366666667,128.99339,0.0,250.1,511,6.39112891589728
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:00:44,35.097835,129.065381666667,102.3,360.0,511,1.5449675740261564
